"plant ID"	GH location	Gall	tissue	plate	column	row
84	resistant rack 7	no gall	leaf	2	3	C
475	resistant rack 7	no gall	leaf	2	3	D
218	resistant rack 7	no gall	leaf	2	3	E
225	resistant rack 7	no gall	leaf	2	3	F
434	resistant rack 7	no gall	leaf	2	3	G
486	resistant rack 7	no gall	leaf	2	3	H
412	resistant rack 7	no gall	leaf	2	4	A
410	resistant rack 7	no gall	leaf	2	4	B
311	resistant rack 7	no gall	leaf	2	4	C
1378	resistant rack 7	no gall	leaf	2	4	D
985	resistant rack 7	no gall	leaf	2	4	E
554	resistant rack 7	no gall	leaf	2	4	F
243	resistant rack 7	no gall	leaf	2	4	G
343	resistant rack 7	no gall	leaf	2	4	H
626	resistant rack 7	no gall	leaf	2	5	A
804	resistant rack 7	no gall	leaf	2	5	B
408	resistant rack 7	no gall	leaf	2	5	C
282	resistant rack 7	no gall	leaf	2	5	D
144	resistant rack 7	no gall	leaf	2	5	E
209	resistant rack 7	no gall	leaf	2	5	F
36	resistant rack 7	no gall	leaf	2	5	G
379	resistant rack 7	no gall	leaf	2	5	H
76	resistant rack 7	no gall	leaf	2	6	A
389	resistant rack 7	no gall	leaf	2	6	B
155	resistant rack 7	no gall	leaf	2	6	C
233	resistant rack 7	no gall	leaf	2	6	D
1236	resistant rack 7	no gall	leaf	2	6	E
1150	resistant rack 7	no gall	leaf	2	6	F
161	resistant rack 7	no gall	leaf	2	6	G
402	resistant rack 7	no gall	leaf	2	6	H
10-5 X 4-6664 tree1	freeze dried in -20C	NA	leaf	2	7	A
10-5 X 4-6664 tree2	freeze dried in -20C	NA	leaf	2	7	B
10-5 X 4-6664 tree3	freeze dried in -20C	NA	leaf	2	7	C
10-5 X 4-6664 tree4	freeze dried in -20C	NA	leaf	2	7	D
10-5 X 4-6664 tree5	freeze dried in -20C	NA	leaf	2	7	E
10-5 X 4-6664 tree6	freeze dried in -20C	NA	leaf	2	7	F
20-1010	freeze dried in -20C	NA	leaf	2	7	G
BLANK	BLANK	BLANK	BLANK	2	7	H
BLANK	BLANK	BLANK	BLANK	2	8	A
BLANK	BLANK	BLANK	BLANK	2	8	B
BLANK	BLANK	BLANK	BLANK	2	8	C
